,mean_diff,studentized,p_lower,p_consistent,p_upper
nodeembed::NE_d64_k15_absolute_corr_average,-0.00011186932675607146,-1.6902864139285008,0.8144,0.5828,0.7716
nodeembed::NE_d64_k15_signed_shift _single,-6.94038126952698e-05,-1.0267086183377625,0.8144,0.5828,0.7716
nodeembed::NE_d64_k15_signed_shift _average,-7.00409694683731e-05,-0.9625761048168904,0.8144,0.5828,0.7716
nodeembed::NE_d64_k15_distance     _single,-8.098023896187133e-05,-1.074439595621995,0.8144,0.5828,0.7716
nodeembed::NE_d64_k15_distance     _average,-6.800145623438858e-05,-1.0314199694269208,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_ldp     _single,-4.0036110015294e-05,-0.5004140772132207,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_ldp     _average,-4.6464976941056556e-05,-0.5902624584240792,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_ldp     _complete,-3.743756218311098e-05,-0.45096606598617844,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_ldp     _ward,-3.306324872218477e-05,-0.44040513076279125,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_absolute_single,-4.0036110015294e-05,-0.5004140772132207,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_absolute_average,-1.9269488740126e-05,-0.244819696079962,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_absolute_complete,-2.936936355468751e-05,-0.36152058163546863,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_absolute_ward,-2.604909725025223e-05,-0.3447639712913946,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_angular _single,-4.0036110015294e-05,-0.5004140772132207,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_angular _average,-4.387798660788866e-05,-0.557127894402874,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_angular _complete,-3.743756218311098e-05,-0.45096606598617844,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_angular _ward,-3.150019606186254e-05,-0.4118239967169496,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_squared _single,-4.0036110015294e-05,-0.5004140772132207,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_squared _average,-4.173165146687367e-05,-0.5284178206878449,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_squared _complete,-3.743756218311098e-05,-0.45096606598617844,0.8144,0.5828,0.7716
partialcorr_full::PC_a5e-04_squared _ward,-2.84762962313925e-05,-0.37564383107061167,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_ldp     _single,-6.647271143436347e-05,-0.8870089851573933,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_ldp     _average,-7.604700391773667e-05,-1.0143742476331077,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_ldp     _complete,-7.548274322391887e-05,-0.9274683733633564,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_ldp     _ward,-7.019112821002562e-05,-0.9367958507421631,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_absolute_single,-6.647271143436347e-05,-0.8870089851573933,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_absolute_average,-7.857194626237159e-05,-1.0906790314472794,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_absolute_complete,-8.743494860979892e-05,-1.0794283768728945,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_absolute_ward,-6.371878533858426e-05,-0.850284712643923,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_angular _single,-6.647271143436347e-05,-0.8870089851573933,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_angular _average,-7.640215941814237e-05,-1.0139518367445841,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_angular _complete,-7.548274322391887e-05,-0.9274683733633564,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_angular _ward,-6.147077178822069e-05,-0.8186268013239243,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_squared _single,-6.647271143436347e-05,-0.8870089851573933,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_squared _average,-7.100852744108688e-05,-0.9772542522490578,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_squared _complete,-7.548274322391887e-05,-0.9274683733633564,0.8144,0.5828,0.7716
partialcorr_full::PC_a1e-03_squared _ward,-7.087363965031293e-05,-0.9506637244263865,0.8144,0.5828,0.7716
partialcorr_full::PC_a2e-03_ldp     _single,-6.041854816295025e-05,-0.7240727507600592,0.8144,0.5828,0.7716
